arm,track,type,seed,finaleLeadChanges,deadFinale,gapP1P2,gapP2P3,duoEscape,deadDuoFinale,frontGroupAtLine,within3At090,leaderGapP2At090,leadChanges62,distinctLeaders62,p1Contest62,runaway,parade,winnerIsLeaderAt090
A8-G075,mountainstreet,open,26,2,0,1.2938,3.5811,0,0,2,2,2.5001,1,2,0,0,0,1
A8-G075,mountainstreet,open,27,1,0,0.853,0.4074,0,0,8,12,0.295,1,2,0,0,0,0
A8-G075,mountainstreet,open,28,5,0,1.2111,0.8579,0,0,3,1,0.9999,3,4,1,0,0,0
A8-G075,mountainstreet,open,29,0,1,1.1995,3.0076,0,0,2,4,0.7247,3,4,1,0,0,1
A8-G075,mountainstreet,open,30,2,0,0.5667,0.4328,0,0,8,12,0.3085,6,7,1,0,0,1
A8-G075,mountainstreet,open,31,2,0,3.3011,1.5632,0,0,1,1,2.7938,2,3,0,0,0,0
A8-G075,mountainstreet,open,32,4,0,1.1079,1.0659,0,0,3,2,1.4539,3,3,1,0,0,0
A8-G075,mountainstreet,open,33,3,0,0.1652,1.2879,0,0,4,1,2.8835,6,5,1,0,0,0
A8-G075,mountainstreet,open,34,3,0,0.5497,1.0677,0,0,4,2,0.8694,2,3,0,0,0,1
A8-G075,mountainstreet,open,35,2,0,1.3173,1.0328,0,0,3,1,0.8668,3,4,0,0,0,1
A8-G075,mountainstreet,open,36,2,0,1.3229,0.9843,0,0,4,2,0.8816,6,4,1,0,0,0
A8-G075,mountainstreet,open,37,1,0,0.35,0.5242,0,0,9,3,0.2368,2,3,0,0,0,1
A8-G075,mountainstreet,open,38,2,0,1.0318,0.8779,0,0,3,1,1.6903,2,3,0,0,0,0
A8-G075,mountainstreet,open,39,1,0,0.675,1.5798,0,0,3,1,2.9398,4,4,1,0,0,0
A8-G075,mountainstreet,open,40,2,0,1.3796,5.2427,0,0,2,1,2.2659,2,3,0,0,0,1
A8-G075,mountainstreet,open,41,2,0,2.7037,2.0416,0,0,2,6,0.0506,2,3,0,0,0,0
A8-G075,mountainstreet,open,42,4,0,1.1047,5.1993,0,0,2,1,0.4576,2,3,0,0,0,0
A8-G075,mountainstreet,open,43,2,0,1.5025,1.6558,0,0,2,2,0.7708,4,4,1,0,0,0
A8-G075,mountainstreet,open,44,2,0,1.3462,1.689,0,0,2,0,4.1882,3,4,1,1,0,1
A8-G075,mountainstreet,open,45,3,0,0.344,0.1382,0,0,9,2,2.4494,4,5,1,0,0,0
A8-G075,mountainstreet,open,46,2,0,0.329,1.2865,0,0,3,3,1.4951,1,2,0,0,0,1
A8-G075,mountainstreet,open,47,1,0,1.1114,0.088,0,0,5,3,1.036,3,4,0,0,0,1
A8-G075,mountainstreet,open,48,2,0,1.321,0.2404,0,0,9,7,0.9628,3,3,1,0,0,0
A8-G075,mountainstreet,open,49,3,0,1.7021,0.1301,0,0,4,4,0.6663,4,5,1,0,0,0
A8-G075,mountainstreet,open,50,2,0,1.9494,1.5043,0,0,2,2,0.6799,2,3,0,0,0,0
A8-G075,mountainstreet,open,51,0,1,0.7468,0.3502,0,0,11,6,1.6209,4,5,1,0,0,1
A8-G075,mountainstreet,open,52,2,0,1.0048,1.1645,0,0,3,1,2.2853,2,3,0,0,0,1
A8-G075,mountainstreet,open,53,0,1,3.2765,1.213,0,0,1,4,1.3584,3,4,1,0,0,1
A8-G075,mountainstreet,open,54,1,0,0.6745,1.4345,0,0,4,2,1.0333,3,4,1,0,0,1
A8-G075,mountainstreet,open,55,0,1,1.3581,6.2883,0,0,2,1,1.5647,3,4,1,0,0,1
A8-G075,mountainstreet,open,56,6,0,0.727,0.9918,0,0,6,5,0.0092,13,6,1,0,0,1
A8-G075,mountainstreet,open,57,2,0,0.2539,2.6723,1,0,3,1,1.7844,6,6,1,0,0,0
A8-G075,mountainstreet,open,58,0,1,0.073,0.2675,0,0,7,1,1.0263,1,2,0,0,0,1
A8-G075,mountainstreet,open,59,3,0,0.5048,1.4841,0,0,4,0,4.2056,3,4,0,0,0,0
A8-G075,mountainstreet,open,60,1,0,1.1246,0.2102,0,0,5,2,0.6137,2,3,0,0,0,1
A8-G075,mountainstreet,open,61,2,0,3.6493,0.9696,0,0,1,1,2.1545,1,2,0,0,0,1
A8-G075,mountainstreet,open,62,3,0,0.8081,0.6943,0,0,9,6,0.6676,6,5,1,0,0,0
A8-G075,mountainstreet,open,63,2,0,1.2373,1.4032,0,0,5,11,0.3181,3,4,1,0,0,0
A8-G075,mountainstreet,open,64,2,0,1.0527,0.1348,0,0,8,9,0.1664,5,4,1,0,0,1
A8-G075,mountainstreet,open,65,0,1,1.0438,0.1563,0,0,6,2,1.7433,5,5,1,0,0,1
A8-G075,mountainstreet,open,66,2,0,0.4189,0.4793,0,0,3,1,0.6959,4,4,0,0,0,0
A8-G075,mountainstreet,open,67,3,0,0.1885,0.0167,0,0,12,7,0.5356,10,8,1,0,0,0
A8-G075,mountainstreet,open,68,1,0,1.4513,1.0883,0,0,4,6,0.2885,6,6,1,0,0,1
A8-G075,mountainstreet,open,69,1,0,0.956,4.9617,0,0,2,2,1.8776,2,3,0,0,0,1
A8-G075,mountainstreet,open,70,4,0,0.1328,0.9165,0,0,8,4,0.089,7,7,1,0,0,0
A8-G075,mountainstreet,open,71,1,0,0.7575,0.5692,0,0,7,5,0.4413,2,2,0,0,0,1
A8-G075,mountainstreet,open,72,2,0,0.5442,0.265,0,0,4,0,5.0207,2,3,0,0,0,0
A8-G075,mountainstreet,open,73,0,1,0.2769,0.4627,0,0,5,6,1.0362,3,3,1,0,0,1
A8-G075,mountainstreet,open,74,2,0,0.9002,0.0422,0,0,11,13,0.4101,8,5,1,0,0,0
A8-G075,mountainstreet,open,75,0,1,0.4776,4.0945,1,1,2,2,2.2787,4,5,0,0,1,1
A8-G075,mountainstreet,open,76,1,0,0.2187,0.6441,0,0,10,17,0.1035,9,6,1,0,0,0
A8-G075,mountainstreet,open,77,3,0,0.7922,0.4839,0,0,9,9,0.2758,8,5,1,0,0,0
A8-G075,mountainstreet,open,78,1,0,0.6137,0.1188,0,0,9,4,0.7799,4,4,1,0,0,0
A8-G075,mountainstreet,open,79,5,0,0.5694,1.2,0,0,9,8,0.4974,3,4,1,0,0,1
A8-G075,mountainstreet,open,80,1,0,0.3012,0.1027,0,0,8,7,1.3938,4,4,1,0,0,0
A8-G075,mountainstreet,open,81,0,1,2.7641,2.0054,0,0,2,2,1.5728,2,3,0,0,0,1
A8-G075,mountainstreet,open,82,1,0,1.8044,0.0516,0,0,8,8,0.2217,3,4,1,0,0,1
A8-G075,mountainstreet,open,83,1,0,0.8811,0.2465,0,0,7,6,0.5953,9,5,1,0,0,0
A8-G075,mountainstreet,open,84,1,0,0.4741,0.1872,0,0,4,2,0.8669,4,3,1,0,0,1
A8-G075,mountainstreet,open,85,3,0,0.9408,0.7666,0,0,5,5,0.7459,4,4,1,0,0,0
A8-G075,mountainstreet,open,86,0,1,0.1315,0.1068,0,0,3,1,2.8168,4,4,1,0,0,1
A8-G075,mountainstreet,open,87,3,0,1.0031,0.11,0,0,4,1,1.4448,5,6,1,0,0,0
A8-G075,mountainstreet,open,88,2,0,4.5309,0.6119,0,0,1,0,3.7503,2,3,0,1,0,1
A8-G075,mountainstreet,open,89,2,0,4.8438,0.3198,0,0,1,3,0.6712,2,3,0,0,0,1
A8-G075,mountainstreet,open,90,2,0,1.1612,0.4677,0,0,4,2,0.279,4,4,1,0,0,0
A8-G075,mountainstreet,open,91,0,1,3.5348,0.2072,0,0,1,0,3.855,2,3,0,1,0,1
A8-G075,mountainstreet,open,92,0,1,1.6568,1.1068,0,0,4,4,0.0247,8,6,1,0,0,1
A8-G075,mountainstreet,open,93,1,0,0.1553,1.5428,0,0,8,4,2.4955,4,5,1,0,0,0
A8-G075,mountainstreet,open,94,1,0,1.4798,2.0822,0,0,2,2,1.2035,2,3,0,0,0,1
A8-G075,mountainstreet,open,95,2,0,1.4281,3.1961,0,0,2,4,1.3627,3,4,1,0,0,1
A8-G075,mountainstreet,open,96,1,0,0.4735,1.8805,1,0,3,0,4.7903,4,5,0,0,0,1
A8-G075,mountainstreet,open,97,1,0,1.9173,0.0162,0,0,3,2,0.541,4,4,1,0,0,0
A8-G075,mountainstreet,open,98,2,0,1.6985,1.4665,0,0,2,2,1.4938,5,5,1,0,0,0
A8-G075,mountainstreet,open,99,3,0,0.5259,1.0705,0,0,3,1,1.1638,2,3,0,0,0,1
A8-G075,mountainstreet,open,100,1,0,3.4214,1.1659,0,0,1,1,2.0196,2,3,0,0,0,1
A8-G075,searound,closed,1,1,0,0.2239,1.1667,0,0,3,0,4.4396,2,3,0,0,0,0
A8-G075,searound,closed,2,0,1,2.4596,1.9562,0,0,2,4,1.2082,3,4,1,0,0,1
A8-G075,searound,closed,3,3,0,1.139,0.7309,0,0,5,1,1.1994,1,2,0,0,0,1
A8-G075,searound,closed,4,2,0,0.2155,3.0457,1,0,2,1,2.253,2,3,0,0,1,1
A8-G075,searound,closed,5,1,0,0.2755,1.1879,0,0,6,0,3.6566,5,5,1,0,0,0
A8-G075,searound,closed,6,3,0,5.2451,0.0728,0,0,1,0,5.9485,1,2,0,1,0,1
A8-G075,searound,closed,7,1,0,1.5775,0.2419,0,0,9,3,0.533,2,3,0,0,0,0
A8-G075,searound,closed,8,3,0,1.2106,0.0102,0,0,3,1,2.8652,2,3,0,0,0,1
A8-G075,searound,closed,9,2,0,0.6924,0.8135,0,0,4,4,0.8253,5,5,1,0,0,0
A8-G075,searound,closed,10,3,0,0.0642,0.7592,0,0,8,7,0.4901,3,3,1,0,0,0
A8-G075,searound,closed,11,0,1,0.1835,0.2754,0,0,12,1,1.1997,2,3,0,0,0,1
A8-G075,searound,closed,12,1,0,2.7125,0.3446,0,0,2,0,4.0317,2,3,0,1,0,1
A8-G075,searound,closed,13,0,1,1.5698,2.4279,0,0,2,3,0.9285,3,4,1,0,0,1
A8-G075,searound,closed,14,2,0,1.0216,1.7356,0,0,3,1,1.8941,3,4,1,0,0,0
A8-G075,searound,closed,15,2,0,5.4219,1.5013,0,0,1,0,3.9814,1,2,0,1,0,1
A8-G075,searound,closed,16,2,0,0.8249,0.6945,0,0,7,6,0.6207,3,4,1,0,0,0
A8-G075,searound,closed,17,2,0,1.8706,2.8007,0,0,2,0,5.2969,4,5,0,0,0,0
A8-G075,searound,closed,18,0,1,0.977,0.9201,0,0,3,4,1.9271,2,3,0,0,0,1
A8-G075,searound,closed,19,0,1,1.4669,1.0215,0,0,5,1,0.8855,1,2,0,0,0,1
A8-G075,searound,closed,20,1,0,0.7926,2.1366,0,0,3,0,4.4303,2,3,0,0,0,0
A8-G075,searound,closed,21,1,0,2.0503,3.9531,0,0,2,1,0.176,3,4,0,0,0,1
A8-G075,searound,closed,22,0,1,0.921,1.2362,0,0,6,4,1.6391,2,3,0,0,0,1
A8-G075,searound,closed,23,1,0,1.8588,0.9308,0,0,3,1,2.0852,3,4,0,0,0,0
A8-G075,searound,closed,24,7,0,0.4762,0.2176,0,0,12,11,0.1049,10,6,1,0,0,0
A8-G075,searound,closed,25,0,1,1.3112,1.3515,0,0,3,2,0.8463,3,4,1,0,0,1
A8-G075,searound,closed,26,2,0,2.423,0.2754,0,0,3,1,2.617,3,4,1,0,0,0
A8-G075,searound,closed,27,1,0,2.8705,0.8065,0,0,2,0,3.2655,2,3,0,1,0,1
A8-G075,searound,closed,28,1,0,2.3614,0.0294,0,0,8,5,1.0742,4,4,1,0,0,0
A8-G075,searound,closed,29,1,0,2.9253,1.4854,0,0,2,1,2.2804,3,4,1,0,0,1
A8-G075,searound,closed,30,1,0,0.6987,0.4174,0,0,3,2,0.9386,2,3,0,0,0,1
A8-G075,searound,closed,31,1,0,2.1339,0.6888,0,0,3,2,0.2432,1,2,0,0,0,1
A8-G075,searound,closed,32,2,0,0.267,1.4368,0,0,6,6,0.5466,2,3,0,0,0,1
